Title,URL,Location,Confirmed_US
Lean Six Sigma Black Belt - Data Analytics & Process Improvement,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/St-Louis-Missouri/Lean-Six-Sigma-Black-Belt---Data-Analytics---Process-Improvement_JR-2025-15573?q=Data%20Engineer,"St. Louis, Missouri",True
Junior Procurement Engineer,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Jazan-Saudi-Arabia/Junior-Procurement-Engineer_JR-2025-15697?q=Data%20Engineer,"Jazan, Saudi Arabia",False
Turnaround Cost Controls Team Lead,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Edmonton-Alberta/Turnaround-Cost-Controls-Team-Lead_JR-2025-16413?q=Data%20Engineer,4 Locations,False
Production Engineer,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Chu-Pei-Hsinchu-County/Production-Engineer_JR-2025-16523?q=Data%20Engineer,"Chu Pei, Hsinchu County",False
Process Engineer Utilities,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Jazan-Saudi-Arabia/Process-Engineer-Utilities_JR-2025-15407?q=Data%20Engineer,"Jazan, Saudi Arabia",False
Process Engineer Utilities,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Jazan-Saudi-Arabia/Process-Engineer-Utilities_JR-2025-15408?q=Data%20Engineer,"Jazan, Saudi Arabia",False
Mechanical Design Engineer-OEM Turbomachinery,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Bethlehem-Pennsylvania/Mechanical-Design-Engineer-OEM-Turbomachinery_JR-2025-15958?q=Data%20Engineer,"Bethlehem, Pennsylvania",True
Advanced Control Engineer,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Jazan-Saudi-Arabia/Advanced-Control-Engineer_JR-2025-16204?q=Data%20Engineer,"Jazan, Saudi Arabia",False
Quality Engineer,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Tainan-Tainan-City/Quality-Engineer_JR-2025-16522?q=Data%20Engineer,"Tainan, Tainan City",False
Electrical Engineer,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Jazan-Saudi-Arabia/Electrical-Engineer_JR-2025-15431?q=Data%20Engineer,"Jazan, Saudi Arabia",False
