Title,URL,Location,Confirmed_US
Sales Engineer,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Dalian-Liaoning/Sales-Engineer_JR-2025-14606-2?q=Software%20Engineer,"Dalian, Liaoning",False
Planning Engineer,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Jazan-Saudi-Arabia/Planning-Engineer_JR-2025-15411?q=Software%20Engineer,"Jazan, Saudi Arabia",False
Planning Engineer,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Jazan-Saudi-Arabia/Planning-Engineer_JR-2025-15463?q=Software%20Engineer,"Jazan, Saudi Arabia",False
QA Engineer,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Pasir-Gudang-Johor/QA-Engineer_JR-2025-15772?q=Software%20Engineer,"Pasir Gudang, Johor",False
Electrical Maintenance Engineer,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Jazan-Saudi-Arabia/Electrical-Maintenance-Engineer_JR-2025-16343?q=Software%20Engineer,"Jazan, Saudi Arabia",False
Lead Electrical Maintenance Engineer,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Jazan-Saudi-Arabia/Lead-Electrical-Maintenance-Engineer_JR-2025-15804?q=Software%20Engineer,"Jazan, Saudi Arabia",False
Senior Principal Industrial Electrical Engineer,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Allentown-Pennsylvania/Senior-Principal-Electrical-Engineer_JR-2025-14664?q=Software%20Engineer,"Allentown, Pennsylvania",True
La Porte Asset Improvement Engineer,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/La-Porte-Texas/La-Porte-Asset-Improvement-Engineer_JR-2025-16634?q=Software%20Engineer,"La Porte, Texas",True
Advanced Control Engineer,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Jazan-Saudi-Arabia/Advanced-Control-Engineer_JR-2025-16204?q=Software%20Engineer,"Jazan, Saudi Arabia",False
Turnaround Cost Controls Team Lead,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Edmonton-Alberta/Turnaround-Cost-Controls-Team-Lead_JR-2025-16413?q=Software%20Engineer,4 Locations,False
Senior Environmental Engineer/Specialist,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Edmonton-Alberta/Senior-Environmental-Specialist_JR-2025-15571?q=Software%20Engineer,"Edmonton, Alberta",False
Maintenance Engineer I&C-Purification,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Changzhi-Shanxi/Maintenance-Engineer-I-C-Purification_JR-2025-16361?q=Software%20Engineer,"Changzhi, Shanxi",False
Internship Training,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Dhahran-SA-DTVC-plot-26-0S13/Internship-Training_JR-2025-16033?q=Software%20Engineer,Dhahran SA (DTVC plot 26) (0S13),False
TRACK and Requisition Team Lead,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Edmonton-Alberta/TRACK-and-Requisition-Team-Lead_JR-2025-16275?q=Software%20Engineer,2 Locations,False
Utilities Operations Technician,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/La-Porte-Texas/Utilities-Operations-Technician_JR-2025-16740?q=Software%20Engineer,"La Porte, Texas",True
Cost Control Lead,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001/job/Houston-Texas/Cost-Control-Lead_JR-2025-16312?q=Software%20Engineer,"Houston, Texas",True
