Title,URL,Location,Confirmed_US
Design Engineer,https://job-boards.greenhouse.io/sharkninjaoperatingllc/jobs/4571658006,"Needham, MA, United States",True
Electrical Engineering Opportunities at SharkNinja,https://job-boards.greenhouse.io/sharkninjaoperatingllc/jobs/4565985006,"Needham, MA, United States",True
Fall 2025: Control Systems Engineering Co-op (late July through December),https://job-boards.greenhouse.io/sharkninjaoperatingllc/jobs/4446225006,"Needham, MA, United States",True
Principal Safety and Compliance Engineer - Product Development,https://job-boards.greenhouse.io/sharkninjaoperatingllc/jobs/4418954006,"Needham, MA, United States",True
Product Safety and Compliance Engineer,https://job-boards.greenhouse.io/sharkninjaoperatingllc/jobs/4451027006,"Needham, MA, United States",True
Quality Engineer - Product Development,https://job-boards.greenhouse.io/sharkninjaoperatingllc/jobs/4574643006,"Needham, MA, United States",True
Senior Data Engineer,https://job-boards.greenhouse.io/sharkninjaoperatingllc/jobs/4576249006,"Needham, MA, United States",True
Senior Network Engineer ,https://job-boards.greenhouse.io/sharkninjaoperatingllc/jobs/4568689006,"Needham, MA, United States",True
"Senior Product Design Engineer,NPD",https://job-boards.greenhouse.io/sharkninjaoperatingllc/jobs/4569989006,"UK - London, Battersea Power Station",False
Test Engineer,https://job-boards.greenhouse.io/sharkninjaoperatingllc/jobs/4449063006,"Suzhou, China",False
