Title,URL,Location,Confirmed_US
DevOps Engineer III,https://job-boards.greenhouse.io/taketwo/jobs/6921665,"London, England, United Kingdom",True
Director of Gameplay Engineering,https://job-boards.greenhouse.io/taketwo/jobs/6973942,Massachusetts - Remote,True
Lead Engineer,https://job-boards.greenhouse.io/taketwo/jobs/6231182,Massachusetts - Remote,True
Lead Systems Engineer,https://job-boards.greenhouse.io/taketwo/jobs/6202991,"London, England, United Kingdom",True
Media Systems Engineer I,https://job-boards.greenhouse.io/taketwo/jobs/6995959,"Novato, California, United States",True
Security Detection Engineer,https://job-boards.greenhouse.io/taketwo/jobs/6868589,"New York, United States",True
Security Detection Engineer,https://job-boards.greenhouse.io/taketwo/jobs/6892533,"Austin, Texas",True
Senior Application Security Engineer,https://job-boards.greenhouse.io/taketwo/jobs/6974536,"Toronto, Ontario, Canada",False
Senior Application Security Engineer,https://job-boards.greenhouse.io/taketwo/jobs/6974535,Texas - Remote,True
"Senior Director, Site Reliability Engineering, Technical Operations Center & Observability",https://job-boards.greenhouse.io/taketwo/jobs/6995956,"Austin, Texas",True
Senior Go Engineer,https://job-boards.greenhouse.io/taketwo/jobs/6745685,"San Francisco, California, United States",True
Senior Go Engineer,https://job-boards.greenhouse.io/taketwo/jobs/6784949,"Vancouver, British Columbia, Canada",False
Senior Product Security Engineer,https://job-boards.greenhouse.io/taketwo/jobs/6742207,"Toronto, Ontario, Canada",False
Senior Product Security Engineer,https://job-boards.greenhouse.io/taketwo/jobs/6630933,Texas - Remote,True
Senior UI/Frontend Engineer,https://job-boards.greenhouse.io/taketwo/jobs/6978920,"Vancouver, British Columbia, Canada",False
Senior UI/Frontend Engineer,https://job-boards.greenhouse.io/taketwo/jobs/6745683,"Vancouver, British Columbia, Canada",False
Site Reliability Engineer II,https://job-boards.greenhouse.io/taketwo/jobs/6941750,US-TX-Austin-Zynga,True
Sr. Information Security Engineer,https://job-boards.greenhouse.io/taketwo/jobs/6921837,"New York, United States",True
UI/Frontend Engineer,https://job-boards.greenhouse.io/taketwo/jobs/7004260,"Vancouver, British Columbia, Canada",False
