Title,URL,Location
Design Engineer,https://job-boards.greenhouse.io/sharkninjaoperatingllc/jobs/4571658006,"Needham, MA, United States"
Electrical Engineering Opportunities at SharkNinja,https://job-boards.greenhouse.io/sharkninjaoperatingllc/jobs/4565985006,"Needham, MA, United States"
Principal Safety and Compliance Engineer - Product Development,https://job-boards.greenhouse.io/sharkninjaoperatingllc/jobs/4418954006,"Needham, MA, United States"
"Product Design Engineer, NPD",https://job-boards.greenhouse.io/sharkninjaoperatingllc/jobs/4573796006,"UK - London, Battersea Power Station"
Product Safety and Compliance Engineer,https://job-boards.greenhouse.io/sharkninjaoperatingllc/jobs/4451027006,"Needham, MA, United States"
Quality Engineer - Product Development,https://job-boards.greenhouse.io/sharkninjaoperatingllc/jobs/4574643006,"Needham, MA, United States"
Salesforce Commerce Cloud Engineer - DTC,https://job-boards.greenhouse.io/sharkninjaoperatingllc/jobs/4578518006,"Needham, MA, United States"
Senior Data Engineer,https://job-boards.greenhouse.io/sharkninjaoperatingllc/jobs/4576249006,"Needham, MA, United States"
Senior Network Engineer,https://job-boards.greenhouse.io/sharkninjaoperatingllc/jobs/4568689006,"Needham, MA, United States"
Senior NPD Quality Engineer,https://job-boards.greenhouse.io/sharkninjaoperatingllc/jobs/4448248006,"Shenzhen, China"
"Senior Product Design Engineer,NPD",https://job-boards.greenhouse.io/sharkninjaoperatingllc/jobs/4569989006,"UK - London, Battersea Power Station"
Senior Quality Engineer,https://job-boards.greenhouse.io/sharkninjaoperatingllc/jobs/4444471006,"Shenzhen, China"
Senior R&D Mechanical Engineer- Sustainability (Shark),https://job-boards.greenhouse.io/sharkninjaoperatingllc/jobs/4569133006,"Needham, MA, United States"
Test Engineer,https://job-boards.greenhouse.io/sharkninjaoperatingllc/jobs/4452137006,China
Test Engineer,https://job-boards.greenhouse.io/sharkninjaoperatingllc/jobs/4449063006,"Suzhou, China"
