Title,URL,Location,Confirmed_US
Senior Manager Data Governance,https://job-boards.greenhouse.io/taketwo/jobs/6889109,"New York, United States",True
Senior Go Engineer,https://job-boards.greenhouse.io/taketwo/jobs/6745685,"San Francisco, California, United States",True
Senior Go Engineer,https://job-boards.greenhouse.io/taketwo/jobs/6784949,"Vancouver, British Columbia, Canada",False
Senior UI/Frontend Engineer,https://job-boards.greenhouse.io/taketwo/jobs/6745683,"Vancouver, British Columbia, Canada",False
Senior UI/Frontend Engineer,https://job-boards.greenhouse.io/taketwo/jobs/6978920,"Vancouver, British Columbia, Canada",False
UI/Frontend Engineer,https://job-boards.greenhouse.io/taketwo/jobs/7004260,"Vancouver, British Columbia, Canada",False
Director of Gameplay Engineering,https://job-boards.greenhouse.io/taketwo/jobs/6973942,Massachusetts - Remote,True
Lead Engineer,https://job-boards.greenhouse.io/taketwo/jobs/6231182,Massachusetts - Remote,True
"Senior Director, Site Reliability Engineering, Technical Operations Center & ObservabilityNew",https://job-boards.greenhouse.io/taketwo/jobs/6995956,"Austin, Texas",True
DevOps Engineer III,https://job-boards.greenhouse.io/taketwo/jobs/6921665,"London, England, United Kingdom",False
Media Systems Engineer INew,https://job-boards.greenhouse.io/taketwo/jobs/6995959,"Novato, California, United States",True
Site Reliability Engineer II,https://job-boards.greenhouse.io/taketwo/jobs/6941750,US-TX-Austin-Zynga,True
Lead Systems Engineer,https://job-boards.greenhouse.io/taketwo/jobs/6202991,"London, England, United Kingdom",False
Security Detection Engineer,https://job-boards.greenhouse.io/taketwo/jobs/6868589,"New York, United States",True
Security Detection Engineer,https://job-boards.greenhouse.io/taketwo/jobs/6892533,"Austin, Texas",True
